date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:21	78990/78990	---MCZ	200	added ('OK')	text/html	etag:%221522-1735520580;gz%22	https://chilltate.fun/	C:/My%20Web%20Sites/Travis%20Cucker/chilltate.fun/index.html	(from )
13:14:21	109/109	---MCZ	200	added ('OK')	text/plain	etag:%221426-1735434807;gz%22	https://chilltate.fun/robots.txt		(from )
13:14:21	4990/4990	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20Jan%202025%2021:14:18%20GMT	https://use.typekit.net/xmq4ukd.css	C:/My%20Web%20Sites/Travis%20Cucker/use.typekit.net/xmq4ukd.css	(from https://chilltate.fun/)
13:14:21	1830/1830	---MCZ	200	added ('OK')	application/rss+xml	etag:%22faaca8361a308b297095d3cda6afdd5c%22	https://chilltate.fun/feed/	C:/My%20Web%20Sites/Travis%20Cucker/chilltate.fun/feed/index.html	(from https://chilltate.fun/)
13:14:22	5501/5501	---M-Z	200	added ('OK')	text/css	etag:%22157d-674989ba-9bdc0e1acc0d822c;gz%22	https://chilltate.fun/wp-content/themes/hello-elementor/style.min.css?ver=3.1.1	C:/My%20Web%20Sites/Travis%20Cucker/chilltate.fun/wp-content/themes/hello-elementor/style.minb12b.css	(from https://chilltate.fun/)
13:14:22	5146/5146	---M-Z	200	added ('OK')	text/css	etag:%22141a-674989ba-76d7109350506913;gz%22	https://chilltate.fun/wp-content/themes/hello-elementor/theme.min.css?ver=3.1.1	C:/My%20Web%20Sites/Travis%20Cucker/chilltate.fun/wp-content/themes/hello-elementor/theme.minb12b.css	(from https://chilltate.fun/)
13:14:22	1616/1616	---MCZ	200	added ('OK')	application/rss+xml	etag:%22faaca8361a308b297095d3cda6afdd5c%22	https://chilltate.fun/comments/feed/	C:/My%20Web%20Sites/Travis%20Cucker/chilltate.fun/comments/feed/index.html	(from https://chilltate.fun/)
13:14:23	7212/7212	---M-Z	200	added ('OK')	text/css	etag:%221c2c-674989ba-2fe42e7496b75bcc;gz%22	https://chilltate.fun/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.1.1	C:/My%20Web%20Sites/Travis%20Cucker/chilltate.fun/wp-content/themes/hello-elementor/header-footer.minb12b.css	(from https://chilltate.fun/)
13:14:23	60689/60689	---M-Z	200	added ('OK')	text/css	etag:%22ed11-674aae85-d6dd548b9e3951d4;gz%22	https://chilltate.fun/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1732947589	C:/My%20Web%20Sites/Travis%20Cucker/chilltate.fun/wp-content/uploads/elementor/css/custom-frontend.min54e6.css	(from https://chilltate.fun/)
13:14:24	2258/2258	---M-Z	200	added ('OK')	text/css	etag:%228d2-674ac8ef-14e6a53dffb3d05c;gz%22	https://chilltate.fun/wp-content/uploads/elementor/css/post-9.css?ver=1732954351	C:/My%20Web%20Sites/Travis%20Cucker/chilltate.fun/wp-content/uploads/elementor/css/post-93f05.css	(from https://chilltate.fun/)
